material_id,raw_count,converted_count,delta_count,delta_rate
0,244786,244786,0,0.0
2,467666,467666,0,0.0
5,5,5,0,0.0
6,1,1,0,0.0
7,2246,2246,0,0.0
8,133,133,0,0.0
9,8,8,0,0.0
10,1959221,1959221,0,0.0
11,11408,11408,0,0.0
